"Trial"	"Subject"	"StartPosition"	"EndPosition"	"DistToTarget"	"DistMoved"	"PressTime"	"AbsError"	"Error"	"Condition"	"Phase"	"Puck"	"Mass"
1	"KA01NS"	1.872817	11.6068419599999	3.127183	9.73402495999991	1.379999	6.6068419599999	6.6068419599999	2	3	"FiveRings"	1.5
2	"KA01NS"	2.354448	7.88799279999995	2.645552	5.53354479999995	1.04	2.88799279999995	2.88799279999995	2	3	"FiveRings"	1.5
3	"KA01NS"	0.2560749	9.43476665999991	4.7439251	9.17869175999991	1.339999	4.43476665999991	4.43476665999991	2	3	"FiveRings"	1.5
4	"KA01NS"	3.358866	6.97199861999996	1.641134	3.61313261999996	0.8399997	1.97199861999996	1.97199861999996	2	3	"FiveRings"	1.5
5	"KA01NS"	1.86609	7.39963479999995	3.13391	5.53354479999995	1.04	2.39963479999995	2.39963479999995	2	3	"FiveRings"	1.5
6	"KA01NS"	0.7358847	6.05904149999995	4.2641153	5.32315679999995	1.02	1.05904149999995	1.05904149999995	2	3	"FiveRings"	1.5
7	"KA01NS"	0.8440466	9.48370915999991	4.1559534	8.63966255999991	1.299999	4.48370915999991	4.48370915999991	2	3	"FiveRings"	1.5
8	"KA01NS"	1.853139	6.56960067999996	3.146861	4.71646167999996	0.9599996	1.56960067999996	1.56960067999996	2	3	"FiveRings"	1.5
9	"KA01NS"	1.527633	5.49223829999996	3.472367	3.96460529999996	0.8799997	0.49223829999996	0.49223829999996	2	3	"FiveRings"	1.5
10	"KA01NS"	3.714896	5.10350111999999	1.285104	1.38860511999999	0.52	0.103501119999986	0.103501119999986	2	3	"FiveRings"	1.5
11	"KA01NS"	1.094617	9.47087895999992	3.905383	8.37626195999992	1.279999	4.47087895999992	4.47087895999992	2	3	"FiveRings"	1.5
12	"KA01NS"	1.679831	6.39629267999996	3.320169	4.71646167999996	0.9599996	1.39629267999996	1.39629267999996	2	3	"FiveRings"	1.5
13	"KA01NS"	0.2645226	9.17166175999991	4.7354774	8.90713915999991	1.319999	4.17166175999991	4.17166175999991	2	3	"FiveRings"	1.5
14	"KA01NS"	3.048761	6.66189361999996	1.951239	3.61313261999996	0.8399997	1.66189361999996	1.66189361999996	2	3	"FiveRings"	1.5
15	"KA01NS"	0.6333461	9.27300865999991	4.3666539	8.63966255999991	1.299999	4.27300865999991	4.27300865999991	2	3	"FiveRings"	1.5
16	"KA01NS"	1.823726	8.23962119999994	3.176274	6.41589519999994	1.12	3.23962119999994	3.23962119999994	2	3	"FiveRings"	1.5
17	"KA01NS"	3.166356	6.28288544799997	1.833644	3.11652944799997	0.7799998	1.28288544799997	1.28288544799997	2	3	"FiveRings"	1.5
18	"KA01NS"	2.399887	6.92227035999995	2.600113	4.52238335999995	0.9399996	1.92227035999995	1.92227035999995	2	3	"FiveRings"	1.5
19	"KA01NS"	0.2923822	9.19952135999991	4.7076178	8.90713915999991	1.319999	4.19952135999991	4.19952135999991	2	3	"FiveRings"	1.5
20	"KA01NS"	3.930817	4.0335322	1.069183	0.1027152	0.14	0.9664678	-0.9664678	2	3	"FiveRings"	1.5
21	"KA01NS"	0.2410712	9.97509615999991	4.7589288	9.73402495999991	1.379999	4.97509615999991	4.97509615999991	2	3	"FiveRings"	1.5
22	"KA01NS"	3.109414	6.89624495999996	1.890586	3.78683095999996	0.8599997	1.89624495999996	1.89624495999996	2	3	"FiveRings"	1.5
23	"KA01NS"	0.8283701	8.69005885999992	4.1716299	7.86168875999992	1.239999	3.69005885999992	3.69005885999992	2	3	"FiveRings"	1.5
24	"KA01NS"	1.542984	7.29100239999994	3.457016	5.74801839999994	1.06	2.29100239999994	2.29100239999994	2	3	"FiveRings"	1.5
25	"KA01NS"	2.209066	7.32591231999995	2.790934	5.11684631999995	0.9999996	2.32591231999995	2.32591231999995	2	3	"FiveRings"	1.5
26	"KA01NS"	1.71364	7.03679679999995	3.28636	5.32315679999995	1.02	2.03679679999995	2.03679679999995	2	3	"FiveRings"	1.5
27	"KA01NS"	2.399813	7.11627467999996	2.600187	4.71646167999996	0.9599996	2.11627467999996	2.11627467999996	2	3	"FiveRings"	1.5
28	"KA01NS"	2.452299	7.16876067999996	2.547701	4.71646167999996	0.9599996	2.16876067999996	2.16876067999996	2	3	"FiveRings"	1.5
29	"KA01NS"	2.212876	5.82600861999996	2.787124	3.61313261999996	0.8399997	0.826008619999963	0.826008619999963	2	3	"FiveRings"	1.5
30	"KA01NS"	0.757185	5.08956697999996	4.242815	4.33238197999996	0.9199997	0.0895669799999572	0.0895669799999572	2	3	"FiveRings"	1.5
31	"KA01NS"	3.726654	4.02504264	1.273346	0.298388639999999	0.24	0.974957360000001	-0.974957360000001	2	3	"FiveRings"	1.5
32	"KA01NS"	1.495958	5.46056329999996	3.504042	3.96460529999996	0.8799997	0.46056329999996	0.46056329999996	2	3	"FiveRings"	1.5
33	"KA01NS"	2.224101	4.88072096799997	2.775899	2.65661996799997	0.7199998	0.119279032000026	-0.119279032000026	2	3	"FiveRings"	1.5
34	"KA01NS"	3.693237	4.97746663200001	1.306763	1.28422963200001	0.5000001	0.0225333679999942	-0.0225333679999942	2	3	"FiveRings"	1.5
35	"KA01NS"	3.795186	4.53878024	1.204814	0.743594240000004	0.38	0.461219759999996	-0.461219759999996	2	3	"FiveRings"	1.5
36	"KA01NS"	2.248709	5.36523844799997	2.751291	3.11652944799997	0.7799998	0.365238447999969	0.365238447999969	2	3	"FiveRings"	1.5
37	"KA01NS"	1.452468	6.16892967999996	3.547532	4.71646167999996	0.9599996	1.16892967999996	1.16892967999996	2	3	"FiveRings"	1.5
38	"KA01NS"	1.255618	5.04244895999996	3.744382	3.78683095999996	0.8599997	0.0424489599999625	0.0424489599999625	2	3	"FiveRings"	1.5
39	"KA01NS"	2.028235	5.64136761999996	2.971765	3.61313261999996	0.8399997	0.641367619999963	0.641367619999963	2	3	"FiveRings"	1.5
40	"KA01NS"	1.941152	6.27353397999996	3.058848	4.33238197999996	0.9199997	1.27353397999996	1.27353397999996	2	3	"FiveRings"	1.5
41	"KA01NS"	3.343384	5.57677916399998	1.656616	2.23339516399998	0.6599999	0.576779163999977	0.576779163999977	2	3	"FiveRings"	1.5
42	"KA01NS"	1.285907	4.89903961999996	3.714093	3.61313261999996	0.8399997	0.100960380000036	-0.100960380000036	2	3	"FiveRings"	1.5
43	"KA01NS"	0.4477873	8.30947605999992	4.5522127	7.86168875999992	1.239999	3.30947605999992	3.30947605999992	2	3	"FiveRings"	1.5
44	"KA01NS"	3.245719	6.05156612799997	1.754281	2.80584712799997	0.7399998	1.05156612799997	1.05156612799997	2	3	"FiveRings"	1.5
45	"KA01NS"	2.870864	4.97133598399998	2.129136	2.10047198399998	0.6399999	0.0286640160000209	-0.0286640160000209	2	3	"FiveRings"	1.5
46	"KA01NS"	3.743783	5.46997211999998	1.256217	1.72618911999998	0.58	0.469972119999984	0.469972119999984	2	3	"FiveRings"	1.5
47	"KA01NS"	0.2830319	4.61541387999996	4.7169681	4.33238197999996	0.9199997	0.384586120000042	-0.384586120000042	2	3	"FiveRings"	1.5
48	"KA01NS"	1.473044	4.43219428799997	3.526956	2.95915028799997	0.7599998	0.567805712000029	-0.567805712000029	2	3	"FiveRings"	1.5
49	"KA01NS"	3.599998	5.44686711999998	1.400002	1.84686911999998	0.6	0.446867119999983	0.446867119999983	2	3	"FiveRings"	1.5
50	"KA01NS"	2.483723	5.14034296799997	2.516277	2.65661996799997	0.7199998	0.140342967999974	0.140342967999974	2	3	"FiveRings"	1.5
51	"KA01NS"	1.665814	6.18819735999995	3.334186	4.52238335999995	0.9399996	1.18819735999995	1.18819735999995	2	3	"FiveRings"	1.5
52	"KA01NS"	0.6148067	9.25446925999991	4.3851933	8.63966255999991	1.299999	4.25446925999991	4.25446925999991	2	3	"FiveRings"	1.5
53	"KA01NS"	3.939491	5.32809611999999	1.060509	1.38860511999999	0.52	0.328096119999987	0.328096119999987	2	3	"FiveRings"	1.5
54	"KA01NS"	1.082701	6.83071939999994	3.917299	5.74801839999994	1.06	1.83071939999994	1.83071939999994	2	3	"FiveRings"	1.5
